gene_name,operation
YOL086C,OE
YDL168W,OE
YBR145W,OE
YDR380W,OE
YNL316C,OE
YPR060C,OE
YBR249C,OE
YDR127W,OE
YGL148W,OE
YDR035W,OE
YPR021C,OE
YBR196C,OE
YBR029C,KD
YFL018C,KD
YER026C,KD
YNL169C,KD
YOR175C,KD
YGL062W,KD
YBR218C,KD
YOR347C,KD
YAL038W,KD
YML120C,KD
YDL052C,KD
YGL080W,KD
YGR243W,KD
YHR162W,KD
YGL202W,KD
YJR073C,KD
YGR157W,KD
YOL126C,KD
YGR193C,KD
YBR221C,KD
YER178W,KD
YNL071W,KD
YCR048W,KD
YNR001C,KD
YKL085W,KD
YPR001W,KD
YNR019W,KD
YHR137W,KD
YPL262W,KD
YJR051W,KD
YJR095W,KD
YLR304C,KD
YFL030W,KD
YER065C,KD
YJL121C,KD
YOR278W,KD
YOR245C,KD
YLR174W,KD
YBR204C,KD
YKL029C,KO
YOR081C,KO
YMR313C,KO
YKR089C,KO
YOR377W,KO
YGR177C,KO
