,k_scores,actions,gene
YOR192C,1000,OE,YOR192C
YLR237W,1000,OE,YLR237W
YMR170C,1000,OE,YMR170C
YOR374W,1000,OE,YOR374W
YGL008C,1000,OE,YGL008C
YPL036W,1000,OE,YPL036W
YER073W,1000,OE,YER073W
YOR071C,1000,OE,YOR071C
YER005W,1000,OE,YER005W
YEL017C-A,1000,OE,YEL017C-A
YOR143C,1000,OE,YOR143C
YCR024C-A,1000,OE,YCR024C-A
YMR110C,1000,OE,YMR110C
YPR069C,910.8091602,OE,YPR069C
YHR137W,910.8091602,OE,YHR137W
YMR009W,910.8091602,OE,YMR009W
YOR273C,910.8091602,OE,YOR273C
YHL016C,910.8091602,OE,YHL016C
YDR441C,910.8091602,OE,YDR441C
YBR132C,910.8091602,OE,YBR132C
YPL274W,910.8091602,OE,YPL274W
YPR118W,910.8091602,OE,YPR118W
YOL052C,910.8091602,OE,YOL052C
YML022W,910.8091602,OE,YML022W
YJR024C,910.8091602,OE,YJR024C
YEL038W,910.8091602,OE,YEL038W
YLL028W,910.8091602,OE,YLL028W
YLR017W,910.8091602,OE,YLR017W
YKL184W,910.8091602,OE,YKL184W
YOR136W,562.9375,OE,YOR136W
YNL037C,562.9375,OE,YNL037C
YKL029C,224.6314654,OE,YKL029C
YML123C,73.89292984,OE,YML123C
YJL198W,73.89292984,OE,YJL198W
YNR013C,73.89292984,OE,YNR013C
YBR296C,73.89292984,OE,YBR296C
YCR037C,73.89292984,OE,YCR037C
YLR180W,33.46306184,OE,YLR180W
YDR502C,33.46306184,OE,YDR502C
YOL061W,14.54056038,OE,YOL061W
YKL181W,14.54056038,OE,YKL181W
YBL068W,14.54056038,OE,YBL068W
YHL011C,14.54056038,OE,YHL011C
YER099C,14.54056038,OE,YER099C
YER069W,12.91191606,OE,YER069W
YOL140W,12.91191606,OE,YOL140W
YMR062C,12.91191606,OE,YMR062C
YOR130C,12.91191606,OE,YOR130C
YLR174W,10.68339442,OE,YLR174W
YPR021C,9.222667002,OE,YPR021C
YOL126C,8.652757981,OE,YOL126C
YDR300C,6.705636427,OE,YDR300C
YOR323C,6.705636427,OE,YOR323C
YOR095C,6.562260803,OE,YOR095C
YPR001W,4.195111451,OE,YPR001W
YNR001C,4.195111451,OE,YNR001C
YKL085W,4.195111451,OE,YKL085W
YDR516C,4.063288539,OE,YDR516C
YGR256W,3.977320735,OE,YGR256W
YNL241C,3.977320735,OE,YNL241C
YGR248W,3.977320735,OE,YGR248W
YHR183W,3.977320735,OE,YHR183W
YHR163W,3.977320735,OE,YHR163W
YBR218C,3.778021775,OE,YBR218C
YGL062W,3.778021775,OE,YGL062W
YNL036W,2.436164051,OE,YNL036W
YNL142W,2.343093402,OE,YNL142W
YPR138C,2.343093402,OE,YPR138C
YGR121C,2.343093402,OE,YGR121C
YDR384C,2.343093402,OE,YDR384C
YGR193C,1.998459699,OE,YGR193C
YNL071W,1.998459699,OE,YNL071W
YBR221C,1.998459699,OE,YBR221C
YER178W,1.998459699,OE,YER178W
YDR226W,1.47142926,OE,YDR226W
YOR375C,1.36112501,OE,YOR375C
YAL062W,1.36112501,OE,YAL062W
YOR347C,1.262650953,OE,YOR347C
YAL038W,1.262650953,OE,YAL038W
YML120C,1.258033169,OE,YML120C
YOR283W,1.177165414,OE,YOR283W
YGR254W,1.177165414,OE,YGR254W
YHR174W,1.177165414,OE,YHR174W
YPL281C,1.177165414,OE,YPL281C
YOR393W,1.177165414,OE,YOR393W
YMR323W,1.177165414,OE,YMR323W
YKL152C,1.177165414,OE,YKL152C
YCR048W,0.041685706,KO,YCR048W
YNR019W,0.041685706,KO,YNR019W
YOR245C,0.032141872,KO,YOR245C
YMR165C,0.032141872,KO,YMR165C
YBR006W,0,KO,YBR006W
YNL277W,0,KO,YNL277W
YLR446W,0,KO,YLR446W
YFL058W,0,KO,YFL058W
YPR121W,0,KO,YPR121W
YCL040W,0,KO,YCL040W
YGR019W,0,KO,YGR019W
YLR438W,0,KO,YLR438W
YOL055C,0,KO,YOL055C
YPL258C,0,KO,YPL258C
YPL214C,0,KO,YPL214C
YPL061W,0,KO,YPL061W
YFR053C,0,KO,YFR053C
YMR267W,0,KO,YMR267W
YGL253W,0,KO,YGL253W
YMR241W,0,KO,YMR241W
