Position,Gene_Name,Enzyme,Operation,Strategy_ID
0,b4025,draw_prot_P0A6T1,KO,1
43,b0767,draw_prot_P52697,KO,1
1,b2925,draw_prot_P0AB71,KO,2
3,b2097,draw_prot_P0A991,KO,2
6,b1260,draw_prot_P0A877,OE,2
42,b1852,draw_prot_P0AC53,KO,2
48,b3386,draw_prot_P0AG07,KD,2
58,b0825,draw_prot_P78055,KO,2
61,b3946,draw_prot_P32669,KO,2
1,b2925,draw_prot_P0AB71,KO,3
3,b2097,draw_prot_P0A991,KO,3
7,b1261,draw_prot_P0A879,OE,3
48,b3386,draw_prot_P0AG07,KO,3
58,b0825,draw_prot_P78055,KO,3
61,b3946,draw_prot_P32669,KO,3
0,b4025,draw_prot_P0A6T1,KO,4
6,b1260,draw_prot_P0A877,OE,4
18,b2329,draw_prot_P12008,OE,4
34,b3919,draw_prot_P0A858,KD,4
43,b0767,draw_prot_P52697,KO,4
58,b0825,draw_prot_P78055,KO,4
61,b3946,draw_prot_P32669,KO,4
0,b4025,draw_prot_P0A6T1,KO,5
6,b1260,draw_prot_P0A877,OE,5
43,b0767,draw_prot_P52697,KO,5
58,b0825,draw_prot_P78055,KO,5
61,b3946,draw_prot_P32669,KO,5
6,b1260,draw_prot_P0A877,OE,6
42,b1852,draw_prot_P0AC53,KO,6
58,b0825,draw_prot_P78055,KO,6
61,b3946,draw_prot_P32669,KO,6
0,b4025,draw_prot_P0A6T1,KO,7
6,b1260,draw_prot_P0A877,OE,7
43,b0767,draw_prot_P52697,KO,7
0,b4025,draw_prot_P0A6T1,KO,8
6,b1260,draw_prot_P0A877,OE,8
42,b1852,draw_prot_P0AC53,KO,8
1,b2925,draw_prot_P0AB71,KO,9
3,b2097,draw_prot_P0A991,KO,9
7,b1261,draw_prot_P0A879,OE,9
14,b2601,draw_prot_P00888,OE,9
42,b1852,draw_prot_P0AC53,KO,9
58,b0825,draw_prot_P78055,KO,9
61,b3946,draw_prot_P32669,KO,9
2,b3916,draw_prot_P0A796,KO,10
4,b1723,draw_prot_P06999,KO,10
7,b1261,draw_prot_P0A879,OE,10
42,b1852,draw_prot_P0AC53,KO,10
48,b3386,draw_prot_P0AG07,KO,10
58,b0825,draw_prot_P78055,KO,10
61,b3946,draw_prot_P32669,KO,10
0,b4025,draw_prot_P0A6T1,KO,11
7,b1261,draw_prot_P0A879,OE,11
42,b1852,draw_prot_P0AC53,KO,11
58,b0825,draw_prot_P78055,KO,11
61,b3946,draw_prot_P32669,KO,11
7,b1261,draw_prot_P0A879,OE,12
43,b0767,draw_prot_P52697,KO,12
7,b1261,draw_prot_P0A879,OE,13
42,b1852,draw_prot_P0AC53,KO,13
0,b4025,draw_prot_P0A6T1,KO,14
6,b1260,draw_prot_P0A877,OE,14
43,b0767,draw_prot_P52697,KO,14
0,b4025,draw_prot_P0A6T1,KO,15
6,b1260,draw_prot_P0A877,OE,15
42,b1852,draw_prot_P0AC53,KO,15
2,b3916,draw_prot_P0A796,KO,16
4,b1723,draw_prot_P06999,KO,16
6,b1260,draw_prot_P0A877,OE,16
42,b1852,draw_prot_P0AC53,KO,16
58,b0825,draw_prot_P78055,KD,16
61,b3946,draw_prot_P32669,KO,16
2,b3916,draw_prot_P0A796,KO,17
4,b1723,draw_prot_P06999,KO,17
6,b1260,draw_prot_P0A877,OE,17
43,b0767,draw_prot_P52697,KO,17
58,b0825,draw_prot_P78055,KO,17
61,b3946,draw_prot_P32669,KO,17
0,b4025,draw_prot_P0A6T1,KO,18
7,b1261,draw_prot_P0A879,OE,18
43,b0767,draw_prot_P52697,KO,18
1,b2925,draw_prot_P0AB71,KO,19
3,b2097,draw_prot_P0A991,KO,19
6,b1260,draw_prot_P0A877,OE,19
42,b1852,draw_prot_P0AC53,KD,19
58,b0825,draw_prot_P78055,KO,19
61,b3946,draw_prot_P32669,KO,19
0,b4025,draw_prot_P0A6T1,KO,20
7,b1261,draw_prot_P0A879,OE,20
43,b0767,draw_prot_P52697,KO,20
