Strategy_ID,Original_Edits,Minimal_Edits,Reduced_By,Original_Fitness,Minimal_Fitness,Fitness_Ratio,Essential_Count,Redundant_Count
10,13,7,6,0.07043522723588473,0.06978250287137462,0.9907329841880944,7,6
2,11,7,4,0.07032338900591059,0.06970751032814229,0.9912421928682001,7,4
9,13,7,6,0.07123789327617777,0.0658877430517027,0.9248974109364323,7,6
17,12,6,6,0.06914015407271426,0.06588655234252601,0.9529419369420777,6,6
4,11,7,4,0.06586874811875727,0.0658687429798319,0.9999999219823434,7,4
19,13,6,7,0.0666875871892895,0.06555001362563043,0.9829417495578282,6,7
11,8,5,3,0.06614557501618933,0.06528998188285755,0.9870649981783004,5,3
5,8,5,3,0.06573721652451522,0.06528789811655457,0.9931649310433901,5,3
16,9,6,3,0.06805227743533114,0.06329640355659634,0.930114405307681,6,3
15,6,3,3,0.06528997995938829,0.06240354344200568,0.9557905130438387,3,3
8,7,3,4,0.06329122535318642,0.06240354344200568,0.9859746448859669,3,4
18,7,3,4,0.06357034921067328,0.062402558362392696,0.9816299444193628,3,4
20,9,3,6,0.0632332999514386,0.062402558362392696,0.9868622768433105,3,6
14,10,3,7,0.06506428704777274,0.06240255023031446,0.9590906634310167,3,7
7,7,3,4,0.0641043991850083,0.06240255023031446,0.9734519163063641,3,4
6,9,4,5,0.06373497004575139,0.06195081519334796,0.9720066573951052,4,5
3,13,6,7,0.07043563446453784,0.06048757975941844,0.8587638944300567,6,7
12,7,2,5,0.06510205156900822,0.05909480804785175,0.9077257417181578,2,5
13,10,2,8,0.06541761452439687,0.05909470025637206,0.9033453861930911,2,8
1,10,2,8,0.06513787234630165,0.005922112376895495,0.09091657684811892,2,8
